,time,command,pitch,roll,Yaw,height,Vx,Vy,Vz,battery
285,1662599771.9229581,UP,0,0,-136,-40,0,0,1,82
286,1662599772.003074,UP,0,0,-136,-40,0,0,1,82
287,1662599772.0828853,UP,0,0,-136,-40,0,0,1,82
288,1662599772.2303796,UP,0,0,-136,-30,0,0,1,82
289,1662599772.3462708,UP,0,0,-136,-30,0,0,1,82
290,1662599772.6019914,UP,0,0,-136,-30,0,0,1,82
291,1662599772.746113,UP,0,0,-136,-30,0,0,0,82
292,1662599772.8828504,UP,0,0,-136,-30,0,0,1,82
293,1662599773.078958,UP,0,0,-136,-20,0,0,1,82
294,1662599773.267663,UP,0,0,-136,-20,0,0,1,82
295,1662599773.3047392,UP,0,0,-136,-20,0,0,1,82
296,1662599773.3885155,UP,0,0,-136,-20,0,0,1,82
297,1662599773.5985906,UP,0,0,-136,-20,0,0,0,82
298,1662599773.6795633,stand,0,0,-136,-20,0,0,0,82
299,1662599773.8618686,stand,1,0,-136,-20,0,0,1,82
300,1662599774.004805,stand,0,0,-136,-10,0,0,0,82
301,1662599774.1299515,stand,0,0,-136,-10,0,0,0,82
302,1662599774.201448,stand,0,0,-136,-10,0,0,0,82
303,1662599774.2547002,stand,0,0,-136,-10,0,0,0,82
304,1662599774.3328707,stand,0,0,-136,-10,0,0,0,82
305,1662599774.3933961,stand,0,0,-136,-10,0,0,0,82
306,1662599774.4991257,stand,1,0,-136,-10,0,0,0,82
307,1662599774.5720274,stand,1,0,-136,-10,0,0,0,82
308,1662599774.6358175,stand,0,0,-136,-10,0,0,0,82
309,1662599774.7389247,stand,1,0,-136,-10,0,0,0,82
310,1662599774.798429,stand,1,0,-136,-10,0,0,0,82
311,1662599774.87804,stand,0,0,-136,-10,0,0,0,82
312,1662599775.0996835,stand,0,0,-136,-10,0,0,0,82
313,1662599775.164541,stand,1,0,-136,-10,0,0,0,82
314,1662599775.2236571,stand,1,0,-136,-10,0,0,0,82
315,1662599775.3283832,stand,1,0,-136,-10,0,0,0,82
316,1662599775.4456663,stand,1,0,-136,-10,0,0,0,82
317,1662599775.5814557,stand,0,0,-136,-10,0,0,0,82
318,1662599775.707984,DOWN,1,0,-136,-10,0,0,0,82
319,1662599775.7845201,DOWN,0,0,-136,-10,0,0,0,82
320,1662599775.9547734,DOWN,0,0,-136,-10,0,0,0,82
321,1662599776.1440148,DOWN,1,0,-136,-10,0,0,0,82
322,1662599776.212515,DOWN,1,0,-136,-10,0,0,-1,82
323,1662599776.397628,stand,1,0,-136,-20,0,0,0,82
324,1662599776.4510434,stand,1,0,-136,-20,0,0,0,82
325,1662599776.5569687,stand,1,0,-136,-20,0,0,-1,82
326,1662599776.7024682,stand,0,0,-136,-20,0,0,0,82
327,1662599776.7864249,stand,0,0,-136,-20,0,0,0,82
328,1662599776.8491957,stand,0,0,-136,-20,0,0,0,82
329,1662599776.9656196,stand,0,0,-136,-20,0,0,0,82
330,1662599777.0050933,stand,0,0,-136,-20,0,0,0,82
331,1662599777.1481674,stand,1,0,-136,-20,0,0,0,82
332,1662599777.230905,stand,1,0,-136,-20,0,0,0,82
333,1662599777.3780923,stand,1,0,-136,-20,0,0,0,82
334,1662599777.5015168,stand,1,0,-136,-20,0,0,0,82
335,1662599777.5631592,stand,1,0,-136,-20,0,0,0,82
336,1662599777.6795564,stand,1,0,-136,-20,0,0,0,82
337,1662599777.7816796,DOWN,1,0,-136,-20,0,0,0,82
338,1662599777.892992,DOWN,1,0,-136,-20,0,0,0,82
339,1662599777.9621341,DOWN,1,0,-136,-20,0,0,0,82
